Date,Record Number,Record Type,Address,Description,Project Name,Status,Short Notes
11/17/2020,CE20-0884,Enforcement Case,"2037 ZINFANDEL AVE, 105, SANTA ROSA CA 95403",MOLD/WATER MOISTURE INTRUSION-KITCHEN SINK AND BATHROOM.,HRS - SUBSTANDARD RESIDENTIAL,In Progress,
11/17/2020,CE20-0883,Enforcement Case,"3004 CARVEL DR, SANTA ROSA CA 95405",NUMEROUS PEOPLE LIVING IN SUBSTANDARD OUT BUILDINGS AND SEVERAL VEHICLES BEING STORED IN DRIVEWAY.,HRIL - ILLEGAL RESIDENTIAL UNIT; ZRVS - RESIDENTIAL VEHICULAR,In Progress,
11/16/2020,CE20-0882,Enforcement Case,"3771 CLEVELAND AVE, SANTA ROSA CA 95403",Trash accumulating on property; weeds and grass not being maintained.,ZCTD - Commercial Trash & Debris,Closed,
11/15/2020,CE20-0881,Enforcement Case,"200 WILSON ST, SANTA ROSA CA 95401",Vehicle into a building,ECO - Emergency Call out,In Progress,
11/12/2020,CE20-0880,Enforcement Case,"2544 HERSHEY CT, SANTA ROSA CA 95403",Structure fire.SWO issued 12/9/2020 demolition of interior without permit.,ECO - EMERGENCY CALL OUT,Closed,
11/12/2020,CE20-0879,Enforcement Case,"111 3RD ST, SANTA ROSA CA 95401",Private storm drain inlet clogged - Sole Desire,ECC - ENVIRONMENTAL CRIME COMMERCIAL,Closed,
11/10/2020,CE20-0878,Enforcement Case,"514 SPENCER AVE, SANTA ROSA CA 95404",TWO DRAINS DRAINING ONTO THE NEIGHBORS DRIVEWAY CAUSING THE ASPHALT TO ERODE.,ZRM - RESIDENTIAL MISCELLANEOUS,Closed,
11/10/2020,CE20-0877,Enforcement Case,"5070 CHARMIAN DR, SANTA ROSA CA 95409",CHIMNEY FIRE,ECO - EMERGENCY CALL OUT,Closed,
11/10/2020,CE20-0876,Enforcement Case,"1628 CUNNINGHAM WAY, SANTA ROSA CA 95403",STRUCTURE FIRE11-10-2020 please charge one hour Senior Code officer time.  thanks MarkUPDATE 2-23-2021 I issued a stop work notice for demolition of fire damaged material on the interior without permits,ECO - EMERGENCY CALL OUT,In Progress,
11/10/2020,CE20-0875,Enforcement Case,"1514 RONNE DR, SANTA ROSA CA 95404",CHIMNEY FIRE\11-10-2020 please charge one hour Senior Code officer time.  thanks Mark,ECO - EMERGENCY CALL OUT,In Progress,
11/9/2020,CE20-0874,Enforcement Case,"4295 MONTGOMERY DR, SANTA ROSA CA 95405",CANNABIS CULTIVATION IN COMMERCIAL BUILDING; RV ON SITE TO ACCOMODATE WORKERS; 5000 GALLONS OF WATER BEING USED VIA PROPERTY NEXT DOOR IN A 24 HR PERIOD ONCE A MONTH SINCE AUG.,CRR - CANNABIS RELATED RESPONSE,In Progress,
11/9/2020,CE20-0873,Enforcement Case,"3555 MIDWAY DR, SANTA ROSA CA 95405",OPERATING A BUSINESS FROM THIER HOME AND ILLEGALLY DUMPING WASTE STRAIGHT INTO THE PROPERTY'S STREET SEWER WASTE LINE,ZRHO - HOME OCCUPATION,Closed,
11/9/2020,CE20-0872,Enforcement Case,"3577 KELSEY KNLS, SANTA ROSA CA 95403","VACANT LOT BEING USED AS A PARTY LOCATION, DISPOSING OF CANS, BOTTLES, FAST FOOD WRAPPERS AND HUMAN WASTE. THE FLIMSY CONSTRUCTION FENCE IS CONTINUALLY VIOLATED.UPDATE 11/10/2020 - RECEIVED ANOTHER COMPLAINT.",ZRTD - RESIDENTIAL TRASH AND DEBRIS,Closed,
11/9/2020,CE20-0871,Enforcement Case,"2531 TACHEVAH DR, SANTA ROSA CA 95405","BURNING TRASH IN THEIR BACK YARD AND POSSIBLE CANNANIS GROW OR LAB.November 7,9,and 10, 2020 received multiple complaints the tenant is now burning trash and or mail in rear yard during the day time",ZRM - RESIDENTIAL MISCELLANEOUS; CRR - CANNABIS RELATED RESPONSE,Closed,
11/6/2020,CE20-0870,Enforcement Case,"1383 SAN MIGUEL RD, SANTA ROSA CA 95403","Construction in backyard, detached from house, close to rear fence line.",BRNP - Building Residential No Permit,In Progress,
11/6/2020,CE20-0869,Enforcement Case,"8912 OAKMONT DR, SANTA ROSA CA 95409",Two cars in driveway that have not moved in about a year; at least one has expired tags. Both are described as eyesores and possible fire hazards.,ZRVS - Residential Vehicular,Closed,
11/6/2020,CE20-0868,Enforcement Case,"1113 CAROL LN, SANTA ROSA CA 95404",Owner is suspected of converting garage into an unpermitted dwelling.,GC - Garage Conversion,Closed,
11/5/2020,CE20-0867,Enforcement Case,"2249 SANTA ROSA AVE, SANTA ROSA CA 95407","RODENTS, TRASH AND DEBRIS, AND HOMELESS ENCAMPMENT.",ZCTD - COMMERCIAL TRASH AND DEBRIS; ZCM - COMMERCIAL MISCELLANEOUS,Closed,
11/5/2020,CE20-0866,Enforcement Case,"905 CLARK ST, SANTA ROSA CA 95404","RAILING OF FRONT STAIRS REMOVED 3 MONTHS AGO AND HAS NOT BEEN REPLACED, ELECTRICAL SHORTAGE - NO BATHROOM LIGHT.",HRS - SUBSTANDARD RESIDENTIAL,Closed,
11/5/2020,CE20-0865,Enforcement Case,"2052 KNOLLS DR, SANTA ROSA CA 95405",SWO ISSUED 11/05/2020 - DRY ROT REAPIR TO EXTERIOR SIDING AND DRY ROT REPAIR TO 2ND FLOOR DESK WITHOUT BENEFIT OF PERMIT.,BRNP - BUILDING RESIDENTIAL - NO PERMIT,In Progress,
11/5/2020,CE20-0864,Enforcement Case,"2017 BURBANK AVE, SANTA ROSA CA 95407","6 ACTIVE LEAKS, BUGS AND FRUIT FLIES COMING UP ALL BATHROOM PLUMBING, RAW SEWAGE UNDER THE HOUSE. CENTRAL HEATING HAS A GAS LEAK SO ONLY SOURCE OF HEATING IS A WOOD BURNING STOVE AND DUCTS OPEN UNDER THE HOUSE (HAS 2 INSPECTION REPORTS).",HRS - SUBSTANDARD RESIDENTIAL,In Progress,
11/5/2020,CE20-0863,Enforcement Case,"5885 MELITA RD, SANTA ROSA CA 95409",10 FEET TALL HEDGES ARE WITHIN 8 FEET OF OUR HOUSE EVES.,ZRM - Residential Miscellaneous,Closed,
11/4/2020,CE20-0862,Enforcement Case,"6900 OAK LEAF DR, SANTA ROSA CA 95409",SIDING BEING REPLACED WITHOUT BENEFIT OF PERMIT.UPDATE 11/05/2020 - SWO ISSUED.,BRNP - BUILDING RESIDENTIAL - NO PERMIT,Closed,
11/4/2020,CE20-0861,Enforcement Case,"343 BELHAVEN CIR, SANTA ROSA CA 95409",Installation of a large generator without benefit of permits.,BRNP - BUILDING RESIDENTIAL - NO PERMIT,Closed,
11/4/2020,CE20-0860,Enforcement Case,"2097 STAGECOACH RD, SANTA ROSA CA 95404","OVERGROWN TREES, BUSHES AND/OR WEEDS ON THE PROPERTY AND PARTIALLY BLOCKING THE SIDEWALK.",ZCM - COMMERCIAL MISCELLANEOUS,In Progress,
11/4/2020,CE20-0859,Enforcement Case,"1800 MEDA AVE, SANTA ROSA CA 95404",TWO BEDROOM HOUSE TURNED INTO A FIVE UNIT MINI APARTMENT. AS WELL AS A GRANNY UNIT IN BACK OF THE HOUSE. BOTH DONE WITHOUT BENEFIT OF PERMITS.,BRNP - BUILDING RESIDENTIAL - NO PERMIT; ILLEGAL RESIDENTIAL UNIT,Investigate,
11/4/2020,CE20-0858,Enforcement Case,"739 BEAVER ST, SANTA ROSA CA 95404",Repairs being done to the home with lead based paint exposed.,ECR - Environmental Crime - Residential,In Progress,
11/3/2020,CE20-0857,Enforcement Case,"1764 STONY POINT RD, SANTA ROSA CA 95407",Illegal kennel with 5 dogs and several litters.,ZRA - Residential Animal Violation,Closed,
11/3/2020,CE20-0856,Enforcement Case,"460 TIMOTHY RD, SANTA ROSA CA 95407","Work being done at property with no permit, including digging up grounds and connecting to sewer or septic.",BCNP - Building Commercial No Permit,In Progress,
11/3/2020,CE20-0855,Enforcement Case,"5631 YERBA BUENA RD, SANTA ROSA CA 95409",Property vacant and not maintained. Brush accumulating in yards posing a fire hazard.,ZRM - Residential Miscellaneous,Investigate,
11/3/2020,CE20-0854,Enforcement Case,"445 S E ST, 9, SANTA ROSA CA 95404",Upstairs neighbor floods apartment often and LL does nothing.  Complainant paid for mold specialist who found 6 or 7 different types of mold causing poor health. Broken window also not repaired after 2 years.,HRS - Substandard Residential,Closed,
11/3/2020,CE20-0853,Enforcement Case,"1949 JENNINGS AVE, SANTA ROSA CA 95401",Old furniture piled/dumped on front lawn for over 6 weeks.,ZRTD - Residential Trash & Debris,Closed,
10/30/2020,CE20-0852,Enforcement Case,"644 KING ST, SANTA ROSA CA 95404","Overgrown, dry weeds.",ZRM - Residential Miscellaneous,Closed,
10/30/2020,CE20-0851,Enforcement Case,"590 WALKHAM PL, SANTA ROSA CA 95407",Wall was opened to repair a leak and is still open 3 months later causing mold and attracting slugs.,HRS - Substandard Residential,In Progress,
10/29/2020,CE20-0850,Enforcement Case,"755 FARMERS LN, 206, SANTA ROSA CA 95405",Elevator is broken tenant on 2nd floor is in a wheelchair and has no way out if there's a fire.,ZRM - Residential Miscellaneous,Closed,
10/29/2020,CE20-0849,Enforcement Case,"1130 CORBY AVE, SANTA ROSA CA 95407",Mold throughout house; rats; heater doesn't work; can't use space heater because electrical is not up to code; drains are rusted away and water is draining under the house,HRS - Substandard Residential,Closed,
10/29/2020,CE20-0848,Enforcement Case,"441 GREENWOOD DR, SANTA ROSA CA 95407",Resident has 40-foot trailer parked next to property line. 10/29/20 - New complaint states bird coop in setback.,ZRVS - Residential Vehicular,Closed,
10/29/2020,CE20-0847,Enforcement Case,"1636 NINA CT, SANTA ROSA CA 95403",Structure being built without permit; resident intends to use structure as a salon,"BRNP & ZRHO - Building Residential No Permit, Home Occupation",Investigate,
10/29/2020,CE20-0846,Enforcement Case,"2129 NORTHFIELD DR, SANTA ROSA CA 95403",Debris and clutter spills onto sidewalk; trash cans left out; front of house in general disrepair,"ZRTD & ZRM - Residential Trash & Debris, Residential Miscellaneous",Investigate,
10/28/2020,CE20-0845,Enforcement Case,"663 CHARLES ST, B, SANTA ROSA CA 95404","Possible fire code violation(s), possible lead in the paint, no egress, construction without permit.","HRS & BRND - Substandard Residential, Building Residential No Permit",In Progress,
10/28/2020,CE20-0844,Enforcement Case,"2555 GUERNEVILLE RD, SANTA ROSA CA 95401","Graffiti on north end of concrete/brick wall behind Raley's, and what looks like personal belongings and someone living there.","GRAF & ZRTD - Graffiti, Residential Trash & Debris",Investigate,
10/28/2020,CE20-0843,Enforcement Case,"2021 BLUEBELL DR, SANTA ROSA CA 95403",New owner tore down a carport and is building a garage without permits.SWO issued 10/28/2020 - Addition added to the back of the house possibly garage with a loft without benefit of permit(s).,BRNP - Building Residential No Permit,In Progress,
10/28/2020,CE20-0842,Enforcement Case,"364 HARVEST LN, SANTA ROSA CA 95401",Smoking,ZRM - Residential Miscellaneous,Closed,
10/28/2020,CE20-0841,Enforcement Case,"855 LIANA DR, 145, SANTA ROSA CA 95407",Smoking in unit,ZRM - Residential Miscellaneous,In Progress,
10/28/2020,CE20-0840,Enforcement Case,"2964 W STEELE LN, SANTA ROSA CA 95403",Home Occupation - Daycare,ZRM - Residential Miscellaneous,Closed,
10/28/2020,CE20-0839,Enforcement Case,"3424 MENDOCINO AVE, SANTA ROSA CA 95403","CHIROPRACTIC OFFICE HAD MULTIPLE GROUPS OF PATIENTS IN THE SMALL OFFICE AT THE SAME TIME, WITH PATIENTS MOVING THROUGH EXAM ROOMS WHILE OTHER PATIENTS WERE BEING WORKED ON. DR ACTIVELY ENCOURAGING PATIENTS TO TAKE OFF THEIR MASKS AS HE'S NOT WEARING ONE EITHER. DR HAS EMAILED WRONG INFORMATION ABOUT COVID AND QUARANTINE GUIDELINES.",COVID - COMMERCIAL,Closed,
10/28/2020,CE20-0838,Enforcement Case,"855 7TH ST, SANTA ROSA CA 95404","PRIVATE PARTY WITH DRINKING NO MASKS MORE THAN 30 PEOPLE AND CHILDREN, AND ELDERS.",COVID - COMMERCIAL,Closed,
10/28/2020,CE20-0837,Enforcement Case,"526 COLLEGE AVE, SANTA ROSA CA 95404","DENTAL OFFICE HAS NO COVID SCREENING, DID NOT CHECK TEMPERATURES, NO HOT WATER AVAILABLE IN THE RECEPTION RESTROOM, NO SANITIZER. DR NOR ASSISTANT NOT WEARING THE PLASTIC FACE SHIELD.",COVID - COMMERCIAL,Closed,
10/27/2020,CE20-0836,Enforcement Case,"777 ASTON AVE, SANTA ROSA CA 95404",Many dying trees throughout complex that need attention,ZRM - Residential Miscellaneous,Investigate,
10/27/2020,CE20-0835,Enforcement Case,"1258 KERNEY ST, SANTA ROSA CA 95401",Complainant states resident is growing about 100 marijuana plants in backyard.,CRR - Cannabis Related Response,In Progress,
10/27/2020,CE20-0834,Enforcement Case,"1344 RANGE AVE, 101, SANTA ROSA CA 95401",Breaker must be reset 5 to 10 times daily as it fails randomly throughout the day and night regardless of what is plugged in or turned on.,HRS - Substandard Residential,Closed,
10/27/2020,CE20-0833,Enforcement Case,"2204 SEMINOLE CT, SANTA ROSA CA 95405",Deck built without permit encroaches onto neighboring property.,BRNP - Building Residential No Permit,Investigate,
10/27/2020,CE20-0832,Enforcement Case,"2315 NORTHWOOD DR, SANTA ROSA CA 95404","10/27/2020 STOP WORK ORDER ISSUED, INTERIOR BATHROOM REMODEL WITHOUT BENEFIT OF PERMIT(S).",SWO - STOP WORK ORDER; BRNP - BUILDING RESIDENTIAL - NO PERMIT,In Progress,
10/26/2020,CE20-0831,Enforcement Case,"3683 HADLEY HILL DR, SANTA ROSA CA 95404",HVAC SYSTEM INSTALLED WITHOUT BENEFIT OF PERMIT.,BRNP - BUILDING RESIDENTIAL - NO PERMIT,Investigate,
10/26/2020,CE20-0830,Enforcement Case,"208 WILSON ST, SANTA ROSA CA 95401",RESTAURANT EQUIPMENT BEING CLEANED ON THEIR PROPERTY AND INTO THE STORM DRAIN.,ECC - ENVIRONMENTAL CRIME - COMMERCIAL,Closed,
10/23/2020,CE20-0829,Enforcement Case,"1574 SURREY DR, SANTA ROSA CA 95401","Trash piling up in front, side, and back yards.",ZRTD - Residential Trash & Debris,Closed,
10/23/2020,CE20-0828,Enforcement Case,"966 BORDEN VILLA DR, 207, SANTA ROSA CA 95401",Smoking on back balcony and on basketball courts.,ZRM - Residential Miscellaneous,Investigate,
10/23/2020,CE20-0827,Enforcement Case,"1320 DE TURK AVE, SANTA ROSA CA 95404",Resident living in trailer in the driveway and has begun hoarding things outside.,HRIL - Illegal Residential Unit,Closed,
10/22/2020,CE20-0826,Enforcement Case,"131 COLLEGE AVE, SANTA ROSA CA 95401",EMPLOYEES NOT WEARING THEIR MASKS UPON ENTERING AND/OR TEST DRIVING VEHICLES. COUNTER EMPLOYEE PULLING DOWN HIS MASK WHEN CONVERSING WITH CUSTOMERS.,COVID - COMMERCIAL,Closed,
10/21/2020,CE20-0825,Enforcement Case,"2466 APPLETREE DR, SANTA ROSA CA 95403",EXTREMELY DRY DEAD TREE IS CUT DOWN AND LYING IN THE FRONT YARD.,ZRM - Residential Miscellaneous,Closed,
10/21/2020,CE20-0824,Enforcement Case,"3501 INDUSTRIAL DR, D, SANTA ROSA CA 95403","Construction of walls, rooms, etc. being done without proper permit(s).",BCNP - Building Commercial No Permit,Closed,
10/21/2020,CE20-0823,Enforcement Case,"1225 WEST AVE, SANTA ROSA CA 95407",Garbage piling up on the Delport Ave. side of the property for over a year and getting worse.  Furniture also being dumped.UPDATE 12/28/2020: Another investigation request form received.,ZRTD - Residential Trash & Debris,Closed,
10/21/2020,CE20-0822,Enforcement Case,"2052 PINERCREST DR, SANTA ROSA CA 95403",Maintenance of trees in planter strip not kept up.,ZRM - Residential Miscellaneous,In Progress,
10/21/2020,CE20-0821,Enforcement Case,"2054 PINERCREST DR, SANTA ROSA CA 95403",Maintenance of trees in planter strip not kept up.,ZRM - Residential Miscellaneous,In Progress,
10/21/2020,CE20-0820,Enforcement Case,"2015 LAPPER AVE, SANTA ROSA CA 95403",Maintenance of trees in planter strip not kept up.,ZRM - Residential Miscellaneous,Closed,
10/21/2020,CE20-0819,Enforcement Case,"147 COLGAN AVE, SANTA ROSA CA 95404",COMPLEX WALKWAY CONCRETE HAS BEEN UNEVEN OR CRUMBLING FOR YEARS WHICH IS A HAZARD TO THIS SENIOR COMPLEX. THERE'S BEEN AT LEAST 2 PEOPLE WHO HAVE FALLEN.,HRS - SUBSTANDARD RESIDENTIAL,Closed,
10/21/2020,CE20-0818,Enforcement Case,"2316 VALLEY WEST DR, SANTA ROSA CA 95401",CONSTRUCTION WITHOUT BENEFIT OF PERMIT(S).,BRNP - BUILDING RESIDENTIAL - NO PERMIT,Closed,
10/20/2020,CE20-0817,Enforcement Case,"495 STONY POINT RD, SANTA ROSA CA 95401",GREASE FIRE - DAMAGE TO OVEN/BROILER AND VENT SHAFT.,ECO - EMERGENCY CALL OUT,In Progress,
10/20/2020,CE20-0816,Enforcement Case,"1021 BELLEVUE AVE, 3005, SANTA ROSA CA 95407","Maggots in kitchen on ceiling, wall, and floor.",HRS - Substandard Residential,Closed,
10/20/2020,CE20-0815,Enforcement Case,"8102 OAKMONT DR, SANTA ROSA CA 95409",HVAC system installed with no permit,BRNP - Building Residential No Permit,Closed,
10/20/2020,CE20-0814,Enforcement Case,"1452 MENDOCINO AVE, SANTA ROSA CA 95401","Noise Ordinance violations including: Loud delivery trucks most nights of the week, usually between midnight and 6am, sometimes more than once per evening; garbage pickup most mornings between 5 and 6am with loud trucks that slam the dumpsters down; pressure washing Monday nights between 9:30 and 10:30 at night; intrusion alarm going off as often as 4 times a night and repeating message for 15 minutes or more.",ZCM - Commercial Miscellaneous,Closed,
10/20/2020,CE20-0813,Enforcement Case,"2524 SAM DR, SANTA ROSA CA 95403",Excessive chickens on property.  Coop too close to property line and an inhabitable structure.  Mice and rats noticed near shared property line.,ZRA - Residential Animal Violation,Investigate,
10/16/2020,CE20-0812,Enforcement Case,"317 SIMONE PL N, SANTA ROSA CA 95409",Dead redwood tree,TREE - Tree Violation,Closed,
10/16/2020,CE20-0811,Enforcement Case,"105 SHERWOOD DR, SANTA ROSA CA 95405",HVAC installed w/out a permit,BRNP - Building Residential No Permit,Investigate,
10/16/2020,CE20-0810,Enforcement Case,"1300 FARMERS LN, SANTA ROSA CA 95405","Noise Ordinance violations - Deliveries before 7am, leaf blower after 10pm, loud generator after 10pm.REOPEN 12/16/2020: Another investigation request received re Noise Ordinance Violation.",ZCM - Commercial Miscellaneous,Investigate,
10/16/2020,CE20-0809,Enforcement Case,"6867 MONTECITO BLVD, SANTA ROSA CA 95409",Overgrown vegitation,ZRM - Residential Miscellaneous,In Progress,
10/14/2020,CE20-0808,Enforcement Case,"368 YOLANDA AVE, SANTA ROSA CA 95404","SWO ISSUED 10/14/2020 - COMMERCIAL REMODEL WITHOUT BENEFIT OF PERMIT(S), MAY REQUIRE SPRINKLERS.",SWO - STOP WORK ORDER; BCNP - BUILDING COMMERCIAL - NO PERMIT,In Progress,
10/14/2020,CE20-0807,Enforcement Case,"328 YOLANDA AVE, SANTA ROSA CA 95404","SWO ISSUED 10/14/2020 - COMMERCIAL REMODEL WITHOUT BENEFIT OF PERMIT(S), MAY REQUIRE SPRINKLERS.",SWO - STOP WORK ORDER; BCNP - BUILDING COMMERCIAL - NO PERMIT,In Progress,
10/14/2020,CE20-0806,Enforcement Case,"1799 MARLOW RD, SANTA ROSA CA 95401",EMPLOYEES WEARING MASKS UNDER THEIR CHIN AND ALLOWING CUSTOMERS TO ENTER WITHOUT A MASK.,COVID - COMMERIAL,Closed,
10/14/2020,CE20-0805,Enforcement Case,"510 FARMERS LN, SANTA ROSA CA 95405",CONTINUING TO CONDUCT INDOOR CYCLING CLASSES SINCE THE END OF SEPTEMBER.,COVID - COMMERCIAL,Closed,
10/14/2020,CE20-0804,Enforcement Case,"116 LELAND ST, SANTA ROSA CA 95404","VERY LARGE DEAD TREE OVERHANGING POWER LINES, CARS PARKED ON THE STREET, THE SIDEWALK, AND THE NEIGHBORING RESIDENTIAL STRUCTURE.",ZRM - RESIDENTIAL MISCELLANEOUS,In Progress,
10/14/2020,CE20-0803,Enforcement Case,"1320 CASHEW RD, SANTA ROSA CA 95403","VACANT LOT HAS A CONSIDERABLE AMOUNT OF DEBRIS INCLUDING TREE LIMBS, CONSTRUCTION DEBRIS, OLD PLANTERS AND DEAD/BURNED LANDSCAPING.",ZRTD - RESIDENTIAL TRASH AND DEBRIS,Closed,
10/14/2020,CE20-0802,Enforcement Case,"2579 VALLEJO ST, SANTA ROSA CA 95405",SMOKING INSIDE AND OUSIDE UNIT.,ZRM - RESIDENTIAL MISCELLANEOUS,Closed,
10/13/2020,CE20-0801,Enforcement Case,"6131 MONTECITO BLVD, SANTA ROSA CA 95409","ACCUMULATION OF COUCHES, MATTRESSES AND BOX SPRING ON SIDEWALK.",ZRTD - RESIDENTIAL TRASH AND DEBRIS,Closed,
10/13/2020,CE20-0800,Enforcement Case,"1142 TERRY LN, SANTA ROSA CA 95403","OVERGROWN TREES, SAFETY ISSUE WITH VISIBILITY.",ZRM - RESIDENTIAL MISCELLANEOUS,Closed,
10/13/2020,CE20-0799,Enforcement Case,"816 SEBASTOPOL RD, SANTA ROSA CA 95407",LOUD MUSIC NIGHTLY WELL OVER 10PM.,ZCM - COMMERCIAL MISCELLANEOUS,Closed,
10/13/2020,CE20-0798,Enforcement Case,"2416 MONTGOMERY DR, SANTA ROSA CA 95405",OBSERVED EMPLOYEE REMOVING THEIR FACE MASK TO TALK TO CUSTOMERS.,COVID - COMMERCIAL,Closed,
10/13/2020,CE20-0797,Enforcement Case,"1150 SANTA ROSA AVE, SANTA ROSA CA 95404",SERVERS NOT WEARING FACE MASKS AND PATRONS IN THE BAR AREA.REOPEN 12/29/2020: ANOTHER INVESTIGATION REQUEST RECEIVED.01/17/2020: ANOTHER COMPLAINT RECEIVED.,COVID - COMMERCIAL,Closed,
10/13/2020,CE20-0796,Enforcement Case,"4283 MONTGOMERY DR, SANTA ROSA CA 95405",DANCE AND FITNESS STUDIO OPERATING INDOORS.,COVID - COMMERCIAL,Closed,
10/13/2020,CE20-0795,Enforcement Case,"1635 WOODHUE AVE, SANTA ROSA CA 95403",CANNABIS CULTIVATION.,CRR - CANNABIS RELATED RESPONSE,Closed,
10/13/2020,CE20-0794,Enforcement Case,"2308 SAN MIGUEL PL, SANTA ROSA CA 95403",STRUCTURE FIRE.,ECO - EMERGENCY CALL OUT,Closed,
10/13/2020,CE20-0793,Enforcement Case,"2312 SAN MIGUEL PL, SANTA ROSA CA 95403",STRUCTURE FIRE,ECO - EMERGENCY CALL OUT,Closed,
10/13/2020,CE20-0792,Enforcement Case,"440 BRAND RD, SANTA ROSA CA 95409",FIRE DESTROYED WELL THAT SERVES 34 HOMES,HCS SUBSTANDARD CONDITIONS,Closed,
10/12/2020,CE20-0791,Enforcement Case,"400 W 3RD ST, A, SANTA ROSA CA 95401",RESTAURANT KITCHEN STAFF NOT WEARING A MASK (AT LEAST ONE STAFF MEMBER).,COVID - COMMERCIAL,Closed,
10/12/2020,CE20-0790,Enforcement Case,"958 CLEVELAND AVE, SANTA ROSA CA 95401","unit 958 Cleveland Ave. has been without water since Friday, October 9, 2020",HRS Substandard Conditions,Closed,Lack of water
10/12/2020,CE20-0789,Enforcement Case,"3255 BORON AVE, SANTA ROSA CA 95407","EVENTS ON SATURDAYS ALL SUMMER, LOUD SPANISH MUSIC, ALOT OF LAUGHING AND CHEERING WITH A BUNCH OF CARS OUT FRONT.",COVID - RESIDENTIAL,Closed,
10/12/2020,CE20-0788,Enforcement Case,"725 4TH ST, SANTA ROSA CA 95404","WAITRESS KEPT TAKING OFF HER MASK THE MOMENT SHE ENTERED THE KITCHEN, THEN PUT IT BACK ON WHEN STEPPING OUT OF THE KITCHEN. THEY'RE NOT USING GLOVES WHILE PREPARING FOOD.",COVID/COMMERCIAL,Closed,
10/12/2020,CE20-0787,Enforcement Case,"315 GILBERT DR, SANTA ROSA CA 95405","AUTO REPAIR BUSINESS OPERATING FROM HOME. AUTO PARTS IN FRONT OF THE HOUSE, SIDEWALK AND STREET (PANS OF OIL). WORKS ON VEHICLES AT ALL HOURS OF THE DAY AND DRIVES THEM UP AND DOWN THE STREET.UPDATE 10/22/2020 - ACCESSORY STRUCTURE IN BACKYARD BEING USED AS A DWELLING (PEOPLE ARE LIVING IN IT). RESIDENT REPEATEDLY WELDS INTO THE LATE HOURS OF THE NIGHT OUTSIDE THE GARAGE NEAR THE TRASH CANS. TRASH ACROSS THE FRONTYARD. MULTIPLE CARS AND TRAILERS PARKED IN THE YARD. BURNS PAPER IN THE BACKYARD WITHOUT A SCREEN PREVENTING THE PAPER FROM FLYING AROUND (STILL BURNING IN FLIGHT).",ZRHO - HOME OCCUPATION,In Progress,
10/9/2020,CE20-0786,Enforcement Case,"538 BOYD ST, SANTA ROSA CA 95407",Graffiti on fence for 6+ months.UPDATE 10/20/2020: Received another complaint.,GRAF - Graffiti,Closed,
10/9/2020,CE20-0785,Enforcement Case,"1714 DUTTON AVE, SANTA ROSA CA 95407",Rooster,ZRA - Residential Animal Violation,Closed,
10/8/2020,CE20-0784,Enforcement Case,"1525 HEXEM AVE, SANTA ROSA CA 95404",Basketball hoop kept in public right-of-way while not in use.,ZRM - Residential Miscellaneous,Closed,
10/8/2020,CE20-0783,Enforcement Case,"1829 PALISADES DR, SANTA ROSA CA 95403","Neighbor is rebuilding, has raised foundation and if side path is raised it may impact complainant's retaining wall.",ZRM - Residential Miscellaneous,Closed,
10/8/2020,CE20-0782,Enforcement Case,"2400 MCBRIDE LN, 7, SANTA ROSA CA 95403",Secondhand smoke coming into home from next-door neighbors.,ZRM - Residential Miscellaneous,Closed,
10/7/2020,CE20-0781,Enforcement Case,"4731 BURNS CT, SANTA ROSA CA 95405",HERITAGE TREE OVERHANGS IN NEIGHBORS FRONT YARD. THE TREE IS UNSAFE FOR THE NEIGHBOR TO PARK VEHICLES IN THEIR OWN DRIVEWAY.,ZRM - Residential Miscellaneous,Closed,
10/7/2020,CE20-0780,Enforcement Case,"1106 ASTI PL, SANTA ROSA CA 95401",ILLEGAL ROOM ABOVE THE GARAGE OF THE HOME BUILT WITHOUT BENEFIT OF PERMITS.,HRIL - ILLEGAL RESIDENTIAL UNIT; BRNP - BUILDING RESIDENTIAL - NO PERMIT,Investigate,
10/6/2020,CE20-0779,Enforcement Case,"2515 CANTERBURY DR, SANTA ROSA CA 95405","Excessive amounts of combustible items including cardboard, wood, mattresses, and a couch are accumulating in front and side of house.",ZRTD - Residential Trash & Debris,Closed,
10/6/2020,CE20-0778,Enforcement Case,"777 FARMERS LN, SANTA ROSA CA 95405",Recently installed exterior lighting is very bright and floods neighbor's yard and house.,ZCM - Commercial Miscellaneous,Investigate,
10/6/2020,CE20-0777,Enforcement Case,"2345 GEORGE LN, SANTA ROSA CA 95403","ACCESSORY STRUCTURE BUILT WITHOUT BENEFIT OF PERMITS AND POSSIBLY WITHIN THE SETBACK. ACCUMULATION OF METAL RACKS, CHAIRS FROZEN YOGURT EQUIPMENT STORED IN FRONT YARD. INOPERABLE VEHICLE WITH EXPIRED TAGS STORED IN DRIVEWAY",BRNP - BUILDING RESIDENTIAL - NO PERMIT; ZRTD - RESIDENTIAL TRASH AND DEBRIS; ZRVS - RESIDENTIAL VEHICULAR,Closed,
10/1/2020,CE20-0776,Enforcement Case,"521 NASON ST, SANTA ROSA CA 95404",Overgrown vegetation and debris in private alley behind house,ZRM,Closed,
10/1/2020,CE20-0775,Enforcement Case,"517 NASON ST, SANTA ROSA CA 95404",Vegetation debris and other behind fence in private alley,ZRM,Closed,
